Arkansas	Arkansas	PROPN	PROPN
Britteinsaaret	Brit-szigetek	PROPN	PROPN
Copepoda	Copepoda	NOUN	NOUN
Copepoda-alaluokka	Copepoda alosztály	NOUN	NOUN
Haag	Hága	PROPN	PROPN
Henry James	Henry James	PROPN	PROPN
James	James	PROPN	PROPN
James Joyce	James Joyce	PROPN	PROPN
Joyce	Joyce	PROPN	PROPN
Krakova	Krakkó	PROPN	PROPN
Laos	Laosz	PROPN	PROPN
Lähi-itä	Közel-Kelet	PROPN	PROPN
Nairobi	Nairobi	PROPN	PROPN
Nasaret	Názáret	PROPN	PROPN
New Delhi	Újdelhi	PROPN	PROPN
Ohio	Ohio	PROPN	PROPN
Panama	Panama	PROPN	PROPN
Pohjois-Eurooppa	Észak-Európa	PROPN	PROPN
Portsmouth	Portsmouth	PROPN	PROPN
Prinssi Edwardin saari	Prince Edward-sziget	PROPN	PROPN
Puerto Rico	Puerto Rico	PROPN	PROPN
Rotterdam	Rotterdam	PROPN	PROPN
Samoa	Szamoa	PROPN	PROPN
Sleesia	Szilézia	PROPN	PROPN
Uruguay	Uruguay	PROPN	PROPN
aalto	hullám	NOUN	NOUN
aateluus	nemesség	NOUN	NOUN
aavikko	sivatag	NOUN	NOUN
agorafobia	agorafóbia	NOUN	NOUN
ahertaa	robotol	VERB	VERB
aivokuori	agykéreg	NOUN	NOUN
ajaja	kocsis	NOUN	NOUN
alentaa	lefokoz	VERB	VERB
alentaa	leminősít	VERB	VERB
alentua	apad	VERB	VERB
alentua	gyengül	VERB	VERB
algebra	algebra	NOUN	NOUN
alumiini	alumínium	NOUN	NOUN
alus	hajó	NOUN	NOUN
antaa	enged	VERB	VERB
antaa potkut	kirúg	_	VERB
armeija	hadsereg	NOUN	NOUN
asiantuntemus	szakértelem	NOUN	NOUN
askel	lépés	NOUN	NOUN
asukas	állandó lakos	NOUN	NOUN
aukko	kráter	NOUN	NOUN
aukko	rés	NOUN	NOUN
aurinko	nap	NOUN	NOUN
australialainen	ausztrál	NOUN	NOUN
autiomaa	sivatag	NOUN	NOUN
autokoulu	autósiskola	NOUN	NOUN
autokratia	autokrácia	NOUN	NOUN
autokratia	önkényuralom	NOUN	NOUN
avaimenreikä	kulcslyuk	NOUN	NOUN
aviomies	férj	NOUN	NOUN
avoin	nyitott	ADJ	ADJ
azeri	azerbajdzsáni	NOUN	NOUN
basaari	bazár	NOUN	NOUN
beryllium	berillium	NOUN	NOUN
betoni	beton	NOUN	NOUN
bibliografia	bibliográfia	NOUN	NOUN
bibliografia	irodalomjegyzék	NOUN	NOUN
bolivialainen	bolíviai	NOUN	NOUN
bordelli	bordély	NOUN	NOUN
bordelli	bordélyház	NOUN	NOUN
dogmi	tan	NOUN	NOUN
dogmi	tantétel	NOUN	NOUN
doktriini	tan	NOUN	NOUN
doktriini	tantétel	NOUN	NOUN
duetto	duett	NOUN	NOUN
dynaaminen	dinamikus	ADJ	ADJ
eduskunta	országgyűlés	NOUN	NOUN
eduskunta	parlament	NOUN	NOUN
ehdollinen sopimus	feltételes szerződés	NOUN	NOUN
ehdollinen sopimus	függő szerződés	NOUN	NOUN
ehtoollinen	úrvacsora	NOUN	NOUN
elefantti	elefánt	NOUN	NOUN
elää	él	VERB	VERB
englantilainen	angol	NOUN	NOUN
epävarma	bizonytalan	ADJ	ADJ
erheellinen	téves	ADJ	ADJ
erottaa	kirúg	VERB	VERB
esimies	főnök	NOUN	NOUN
eskimo	eszkimó	NOUN	NOUN
eskimokieli	eszkimó	NOUN	NOUN
espanjalainen	spanyol	NOUN	NOUN
este	gát	NOUN	NOUN
este	korlát	NOUN	NOUN
eturyhmä	érdekcsoport	NOUN	NOUN
fagotti	fagott	NOUN	NOUN
filosofi	filozófus	NOUN	NOUN
filosofia	filozófia	NOUN	NOUN
fondue	fondü	NOUN	NOUN
fondyy	fondü	NOUN	NOUN
geofysiikka	geofizika	NOUN	NOUN
haaveileminen	merengés	NOUN	NOUN
haaveilu	merengés	NOUN	NOUN
halailla	ölelkezik	VERB	VERB
hankajalkaiset	Copepoda	NOUN	NOUN
harvinainen	ritka	ADJ	ADJ
hassu	agyalágyult	ADJ	ADJ
hassu	balga	ADJ	ADJ
hassu	balgatag	ADJ	ADJ
hassu	bohó	ADJ	ADJ
hassu	bolond	ADJ	ADJ
hassu	bolondos	ADJ	ADJ
hassu	buggyant	ADJ	ADJ
hassu	esztelen	ADJ	ADJ
hassu	flúgos	ADJ	ADJ
hassu	hülye	ADJ	ADJ
hassu	lökött	ADJ	ADJ
hassu	lüke	ADJ	ADJ
havaiji	hawaii	NOUN	NOUN
hedelmämehu	gyümölcslé	NOUN	NOUN
heikentyä	elhal	VERB	VERB
heikentyä	fogy	VERB	VERB
heikentyä	gyengül	VERB	VERB
heikentyä	hanyatlik	VERB	VERB
heiketä	gyengül	VERB	VERB
heinä	fű	NOUN	NOUN
helikopteri	helikopter	NOUN	NOUN
hellittää	alábbhagy	VERB	VERB
hellittää	csitul	VERB	VERB
hellittää	elcsendesedik	VERB	VERB
hellittää	elcsitul	VERB	VERB
hellittää	elhal	VERB	VERB
hellittää	elül	VERB	VERB
hellittää	enged	VERB	VERB
hellittää	enyhül	VERB	VERB
hellittää	lanyhul	VERB	VERB
hellittää	szelídül	VERB	VERB
helppo	egyszerű	ADJ	ADJ
herjaus	rágalmazás	NOUN	NOUN
herjaus	rágalom	NOUN	NOUN
herkkä	ingerlékeny	ADJ	ADJ
herkkänahkainen	ingerlékeny	ADJ	ADJ
hermopääte	idegvégződés	NOUN	NOUN
hiilihydraatti	szacharid	NOUN	NOUN
hiilihydraatti	szénhidrát	NOUN	NOUN
hissi	felvonó	NOUN	NOUN
hissi	lift	NOUN	NOUN
huhu	híresztelés	NOUN	NOUN
huhu	pletyka	NOUN	NOUN
hullunkurinen	bolondos	ADJ	ADJ
hullunkurinen	lökött	ADJ	ADJ
huonekalu	bútor	NOUN	NOUN
hypoteesi	feltevés	NOUN	NOUN
hypoteesi	feltételezés	NOUN	NOUN
hyväksyä	elfogad	VERB	VERB
hyväksyä	enged	VERB	VERB
hyväntekeväisyys	jótékonykodás	NOUN	NOUN
hämmästyttää	meglep	VERB	VERB
hämäräperäinen	homályos	ADJ	ADJ
häpäisy	rágalom	NOUN	NOUN
häpäisy	szennyezettség	NOUN	NOUN
häät	esküvő	NOUN	NOUN
hölmö	agyalágyult	ADJ	ADJ
hölmö	balga	ADJ	ADJ
hölmö	balgatag	ADJ	ADJ
hölmö	bohó	ADJ	ADJ
hölmö	bolond	ADJ	ADJ
hölmö	bolondos	ADJ	ADJ
hölmö	dilis	ADJ	ADJ
hölmö	esztelen	ADJ	ADJ
hölmö	flúgos	ADJ	ADJ
hölmö	hülye	ADJ	ADJ
hölmö	lökött	ADJ	ADJ
hölmö	lüke	ADJ	ADJ
höpsähtänyt	buggyant	ADJ	ADJ
höpsähtänyt	dilis	ADJ	ADJ
höpsö	agyalágyult	ADJ	ADJ
höpsö	balga	ADJ	ADJ
höpsö	balgatag	ADJ	ADJ
höpsö	bohó	ADJ	ADJ
höpsö	bolondos	ADJ	ADJ
höpsö	buggyant	ADJ	ADJ
höpsö	dilis	ADJ	ADJ
höpsö	esztelen	ADJ	ADJ
höpsö	flúgos	ADJ	ADJ
höpsö	hülye	ADJ	ADJ
höpsö	lökött	ADJ	ADJ
höpsö	lüke	ADJ	ADJ
